name,is_valid,valid_name,synonym_optional
Scheuchzeriaceae,Y,,
Schisandraceae,Y,,
Schlegeliaceae,Y,,
Sclerophylacaceae,N,Solanaceae,
Scoliopaceae,N,Liliaceae,
Scrophulariaceae,Y,,
Scybaliaceae,N,Balanophoraceae,
Scyphostegiaceae,N,Salicaceae,
Scytopetalaceae,N,Lecythidaceae,
Selaginaceae,N,Scrophulariaceae,
Sesamaceae,N,Pedaliaceae,
Sesuviaceae,N,Aizoaceae,
Setchellanthaceae,Y,,
Simaroubaceae,Y,,
Simmondsiaceae,Y,,
Sinofranchetiaceae,N,Lardizabalaceae,
Siparunaceae,Y,,
Siphonodontaceae,N,Celastraceae,
Sladeniaceae,N,Pentaphylacaceae,Y
Smilacaceae,Y,,
Solanaceae,Y,,
Sonneratiaceae,N,Lythraceae,
Sparganiaceae,Y,,
Spergulaceae,N,Caryophyllaceae,
Sphaerosepalaceae,Y,,
Sphenocleaceae,Y,,
Sphenostemonaceae,Y,,
Spigeliaceae,N,Loganiaceae,
Spiraeaceae,N,Rosaceae,
Stachyuraceae,Y,,
Stackhousiaceae,N,Celastraceae,
Staphyleaceae,Y,,
Staticaceae,N,Plumbaginaceae,
Stegnospermataceae,Y,,
Stemonaceae,Y,,
Stemonuraceae,Y,,
Stenomeridaceae,N,Dioscoreaceae,
Sterculiaceae,N,Malvaceae,
Stilaginaceae,N,Euphorbiaceae,
Stilbaceae,Y,,
Strasburgeriaceae,Y,,
Strelitziaceae,Y,,
Streptochaetaceae,N,Poaceae,
Strychnaceae,N,Loganiaceae,
Stylidiaceae,Y,,
Stylobasiaceae,N,Surianaceae,
Stylocerataceae,N,Buxaceae,
Styracaceae,Y,,
Surianaceae,Y,,
Symphoremataceae,N,Lamiaceae,
Symplocaceae,Y,,
Taccaceae,N,Dioscoreaceae,
Takhtajaniaceae,N,Winteraceae,
Talinaceae,N,Portulacaceae,
Tamaricaceae,Y,,
Tapisciaceae,Y,,
Tecophilaeaceae,Y,,
Tepuianthaceae,N,Thymelaeaceae,
Ternstroemiaceae,N,Pentaphylacaceae,Y
Tetracarpaeaceae,N,Haloragaceae,Y
Tetracentraceae,N,Trochodendraceae,Y
Tetrachondraceae,Y,,
Tetradiclidaceae,Y,,
Tetragoniaceae,N,Aizoaceae,
Tetramelaceae,Y,,
Tetrameristaceae,Y,,
Tetrastylidiaceae,N,Olacaceae,
Thalassiaceae,N,Hydrocharitaceae,
Thalictraceae,N,Ranunculaceae,
Theaceae,Y,,
Theligonaceae,N,Rubiaceae,
Themidaceae,N,Asparagaceae,Y
Theophrastaceae,Y,,
Thismiaceae,N,Burmanniaceae,
Thomandersiaceae,N,Acanthaceae,
Thunbergiaceae,N,Acanthaceae,
Thurniaceae,Y,,
Thymelaeaceae,Y,,
Ticodendraceae,Y,,
Tiliaceae,N,Malvaceae,
Tofieldiaceae,Y,,
Torricelliaceae,Y,,
Tovariaceae,Y,,
Trapaceae,N,Lythraceae,
Trapellaceae,N,Pedaliaceae,
Tremandraceae,N,Elaeocarpaceae,
Trewiaceae,N,Euphorbiaceae,
Tribelaceae,Y,,
